High,Low
415.085,413.745
415.085,413.745
415.085,413.86
415.085,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,413.86
415.1086,414.1
415.1086,414.1
415.1086,414.1
415.1086,414.17
415.1086,414.26
415.1086,414.28
415.1086,414.28
415.1086,414.335
415.1086,414.46
415.11,414.46
415.12,414.46
415.17,414.46
415.2006,414.46
415.2006,414.46
415.35,414.51
415.35,414.51
415.38,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.51
415.52,414.545
415.52,414.545
415.52,414.545
415.52,414.545
415.52,414.545
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.66
415.52,414.71
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.8
415.52,414.65
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.61
415.52,414.555
415.45,414.555
415.45,414.555
415.45,414.555
415.45,414.555
415.45,414.41
415.45,414.41
415.45,414.41
415.45,414.41
415.45,414.385
415.45,414.24
415.45,414.24
415.45,414.24
415.45,414.24
415.45,414.24
415.45,414.24
415.45,414.21
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.45,414.1802
415.435,414.1802
415.435,414.1802
415.41,414.1802
415.41,414.1802
415.34,414.1802
415.29,414.1802
415.28,414.1802
415.17,414.1802
415.2,414.1802
415.24,414.1802
415.24,414.1802
415.24,414.1802
415.265,414.1802
415.265,414.1802
415.365,414.1802
415.45,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.1802
415.515,414.29
415.515,414.31
415.515,414.41
415.515,414.41
415.515,414.41
415.515,414.41
415.67,414.57
415.67,414.65
415.67,414.65
415.75,414.725
416.85,415.77
416.85,415.77
416.92,415.77
417.31,415.77
417.31,415.77
417.31,415.855
417.31,415.855
417.31,415.855
417.31,415.855
417.31,415.855
417.3899,415.855
417.41,415.855
417.41,415.855
417.41,415.855
417.41,415.895
417.41,416
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.07
417.41,416.115
417.41,416.27
417.41,416.27
417.41,416.33
417.41,416.37
417.41,416.45
417.41,416.45
417.41,416.45
417.41,416.45
417.41,416.45
417.41,416.45
417.41,416.5001
417.41,416.5001
417.41,416.5001
417.41,416.5001
417.41,416.5001
417.41,416.5001
417.41,416.53
417.41,416.57
417.41,416.62
417.41,416.62
417.41,416.62
417.41,416.62
417.41,416.67
417.41,416.67
417.41,416.68
417.41,416.68
417.41,416.68
417.41,416.68
417.41,416.68
417.41,416.76
417.41,416.76
417.41,416.8
417.41,416.8
417.41,416.745
417.41,416.745
417.41,416.73
417.41,416.73
417.41,416.73
417.41,416.73
417.41,416.73
417.41,416.67
417.41,416.67
417.41,416.67
417.4,416.67
417.38,416.67
417.37,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.295,416.67
417.2601,416.67
417.2601,416.67
417.2601,416.67
417.26,416.67
417.26,416.67
417.26,416.67
417.26,416.67
417.26,416.67
417.26,416.67
417.26,416.67
417.26,416.67
417.26,416.67
417.26,416.67
417.26,416.67
417.26,416.67
417.26,416.67
417.26,416.65
417.26,416.65
417.21,416.65
417.195,416.65
417.195,416.59
417.195,416.59
417.195,416.59
417.195,416.59
417.19,416.59
417.19,416.52
417.19,416.52
417.14,416.52
417.14,416.495
417.14,416.49
417.14,416.49
417.14,416.49
417.14,416.3824
417.14,416.22
417.14,416.03
417.14,415.675
417.14,415.675
417.14,415.56
417.14,415.52
417.14,415.52
417.14,415.52
417.14,415.52
417.14,415.52
417.13,415.52
417.13,415.52
417.13,415.52
417.13,415.52
417.13,415.52
417.13,415.52
417.13,415.52
417.06,415.52
417.06,415.52
417.06,415.52
417.06,415.52
417.06,415.52
417.06,415.52
417.06,415.52
417.06,415.52
417.06,415.52
417.06,415.52
417.06,415.52
417.06,415.52
417.06,415.52
417.04,415.52
417.01,415.52
416.97,415.52
416.97,415.52
416.97,415.52
416.97,415.52
416.97,415.52
416.97,415.52
416.955,415.52
416.955,415.52
416.79,415.52
416.79,415.52
416.72,415.52
416.72,415.52
416.72,415.52
416.72,415.52
416.72,415.52
416.72,415.52
416.72,415.52
416.72,415.52
416.72,415.52
416.7,415.52
416.5932,415.52
416.5932,415.52
416.5932,415.52
416.57,415.52
416.57,415.52
416.57,415.52
416.51,415.52
416.3824,415.52
416.22,415.52
416.18,415.52
416.18,415.52
416.18,415.52
416.18,415.52
416.18,415.52
416.18,415.44
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
416.18,415.35
409.38,408.08
409.38,408.08
409.38,408.08
409.38,408.08
409.38,408.08
409.38,408.08
409.38,408.31
409.38,408.31
409.65,408.31
409.65,408.31
409.65,408.31
409.65,408.31
409.65,408.31
409.65,408.31
409.65,408.31
409.65,408.31
409.65,408.31
409.65,408.31
409.65,408.31
409.65,408.31
409.65,408.31
409.65,408.31
409.65,408.31
409.68,408.31
409.79,408.31
409.79,408.52
409.79,408.52
409.79,408.52
409.79,408.52
409.79,408.52
409.79,408.52
409.79,408.52
409.79,408.52
409.79,408.52
409.79,408.56
409.79,408.56
409.8,408.62
409.8601,408.62
409.94,408.62
410.01,408.62
410.01,408.62
410.01,408.62
410.01,408.62
410.01,408.62
410.018,408.66
410.018,408.66
410.018,408.66
410.018,408.66
410.032,408.6701
410.08,408.6701
410.08,408.6701
410.08,408.6701
410.08,408.6701
410.08,408.6701
410.08,408.7418
410.08,408.92
410.1801,409.06
410.245,409.11
410.31,409.15
410.31,409.15
410.36,409.15
410.36,409.15
410.38,409.15
410.38,409.15
410.38,409.15
410.38,409.15
410.38,409.15
410.38,409.21
410.4195,409.21
410.4195,409.21
410.43,409.265
410.47,409.32
410.515,409.32
410.515,409.32
410.515,409.34
410.54,409.34
410.54,409.34
410.645,409.34
410.645,409.34
410.6494,409.37
410.74,409.37
410.8,409.37
410.8,409.37
410.96,409.37
411.11,409.37
411.11,409.37
411.11,409.37
411.11,409.37
411.11,409.37
411.11,409.37
411.11,409.58
411.11,409.58
411.11,409.58
411.11,409.58
411.11,409.69
411.11,409.75
411.11,409.79
411.11,409.79
411.11,409.79
411.11,409.79
411.11,409.79
411.11,409.79
411.11,409.79
411.11,409.79
411.11,409.79
411.11,409.79
411.11,409.79
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.11,409.85
411.13,409.85
411.13,409.85
411.13,409.85
411.13,409.85
411.13,409.85
411.13,409.85
411.13,409.85
411.13,409.85
411.13,409.85
411.13,409.85
411.46,409.85
411.46,409.85
411.5,409.85
411.5,409.85
411.5,409.85
411.5,409.85
411.5,409.93
411.5,409.97
411.5,409.97
411.5,409.97
411.5,409.97
411.5,409.97
411.5,409.97
411.5,409.97
411.5,409.97
411.5,409.97
411.5,409.97
411.5,410.06
411.5,410.11
411.5,410.1101
411.5,410.1101
411.5,410.1101
411.5,410.1101
411.5,410.16
411.5,410.165
411.5,410.2084
411.5,410.2084
411.5,410.2084
411.5,410.2084
411.5,410.2084
411.5,410.2084
411.5,410.2084
411.5,410.2084
411.5,410.2084
411.5,410.47
411.5,410.53
411.5,410.55
411.5,410.55
411.5,410.5475
411.5,410.5475
411.5,410.5475
411.5,410.5475
411.5,410.5475
411.5,410.5475
411.5,410.5475
411.5,410.5475
411.5,410.5475
411.5,410.5475
411.5,410.5475
411.6691,410.54
411.76,410.59
411.81,410.59
411.81,410.62
411.81,410.8
411.81,410.8
411.81,410.8
411.81,410.8
411.81,410.8
411.81,410.8
411.81,410.8
411.81,410.8
411.81,410.8
411.81,410.8
411.81,410.8
411.81,410.8
411.81,410.82
411.81,410.95
411.81,411
411.81,411
411.81,411
411.81,411
411.82,411
411.9409,411.07
411.975,411.07
411.99,411.07
411.99,411.1
411.99,411.1162
411.99,411.1162
411.99,411.1162
412.15,411.1162
412.16,411.1162
412.16,411.1162
412.16,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.19,411.1162
412.215,411.1162
412.215,411.1162
412.2301,411.1162
412.2301,411.21
412.2301,411.29
412.2301,411.392
412.26,411.465
412.28,411.465
412.32,411.51
412.32,411.51
412.48,411.51
412.48,411.51
412.52,411.51
412.52,411.51
412.52,411.51
412.52,411.51
412.52,411.51
412.52,411.51
412.52,411.51
412.52,411.51
412.52,411.55
412.52,411.56
412.52,411.57
412.52,411.59
412.52,411.61
412.52,411.61
412.52,411.61
412.52,411.61
412.52,411.61
412.52,411.7
412.52,411.7
412.52,411.75
412.52,411.82
412.52,411.895
412.52,411.895
412.52,411.895
412.52,411.895
412.52,411.94
412.52,411.94
412.52,411.94
412.52,411.94
412.52,411.94
412.72,411.94
412.72,411.94
412.72,411.94
412.72,411.75
412.72,411.75
412.72,411.595
412.72,411.595
412.72,411.595
412.72,411.595
412.72,411.595
412.72,411.55
412.72,411.43
412.72,411.43
412.72,411.43
412.72,411.43
412.72,411.43
412.72,411.43
412.72,411.43
412.72,411.43
412.72,411.43
412.72,411.43
412.72,411.43
412.73,411.43
413.065,411.43
413.065,411.43
413.065,411.43
413.175,411.43
413.175,411.43
413.175,411.43
413.175,411.43
413.175,411.43
413.175,411.43
413.175,411.43
413.175,411.43
413.175,411.43
413.175,411.4
413.175,410.9
413.175,410.9
413.175,410.9
413.175,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.9
413.52,410.84
413.52,409.96
413.52,409.96
413.52,409.8
413.52,409.8
413.52,409.8
413.52,409.42
413.52,409.42
413.52,409.42
413.52,409.42
413.52,409.42
413.52,409.42
413.52,408.95
413.52,408.95
413.52,408.95
413.52,408.95
413.52,408.95
413.52,408.95
413.52,408.95
413.52,408.95
413.52,408.82
413.52,408.82
413.52,408.62
413.52,408.35
413.52,408.26
413.52,408.26
413.52,408.26
413.52,408.26
413.52,408.26
413.52,408.26
413.52,408.26
413.52,408.045
413.18,408.045
412.9,408.045
412.9,408.045
412.9,408.045
412.9,408.045
412.9,408.045
412.9,408.045
412.9,408.045
412.9,408.045
412.9,408.045
412.9,408.045
412.9,408.045
412.9,408.045
412.9,408.045
412.9,408.045
412.9,408.045
412.9,407.895
412.9,407.895
405.31,403.79
405.43,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.48,403.79
405.66,403.79
405.69,403.79
405.84,403.79
405.84,403.79
405.84,403.79
405.84,403.79
405.84,403.79
405.84,403.79
405.84,403.79
405.97,403.79
405.97,403.79
406.05,403.79
406.17,403.86
406.19,403.86
406.25,403.86
406.25,403.96
406.25,403.96
406.25,404.13
406.32,404.31
406.32,404.5
406.5,404.63
406.58,404.63
406.58,404.63
406.58,404.79
406.61,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.79
407.09,404.91
407.09,404.91
407.09,404.91
407.09,404.91
407.09,404.91
407.09,404.91
407.09,404.91
407.09,404.91
407.09,405.02
407.09,405.33
407.09,405.44
407.09,405.59
407.09,405.59
407.09,405.59
407.09,405.59
407.09,405.59
407.09,405.59
407.09,405.59
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.73
407.09,405.72
407.09,405.53
407.04,405.53
407,405.53
406.96,405.51
406.96,405.46
406.96,405.38
406.96,405.37
406.96,405.155
406.96,404.97
406.96,404.82
406.96,404.82
406.96,404.82
406.96,404.82
406.79,404.82
406.79,404.82
406.58,404.82
406.58,404.82
406.55,404.82
406.47,404.82
406.47,404.82
406.47,404.82
406.375,404.82
406.25,404.82
406.25,404.82
406.25,404.82
406.25,404.782
406.15,404.782
406.15,404.78
406.15,404.78
406.15,404.69
406.15,404.69
406.15,404.69
406.15,404.69
406.15,404.69
406.15,404.69
406.15,404.69
406.15,404.69
406.15,404.69
406.1,404.69
406.1,404.69
406.1,404.69
406.1,404.69
406.1,404.69
406.1,404.69
406.1,404.69
406.1,404.69
406.1,404.69
406.1,404.69
406.1,404.69
406.095,404.69
406.095,404.69
406.095,404.69
406.095,404.69
406.095,404.66
406.095,404.66
406.095,404.66
406.02,404.61
406.02,404.61
405.97,404.61
405.97,404.61
405.97,404.61
405.97,404.61
405.97,404.61
405.97,404.61
405.97,404.61
405.97,404.61
405.97,404.61
405.97,404.61
405.97,404.61
405.97,404.61
405.97,404.61
405.97,404.61
405.97,404.61
405.97,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
406.175,404.61
411.32,410.624
411.32,410.624
411.22,410.624
411.22,410.624
411.22,410.624
411.22,410.624
411.22,410.624
411.105,410.624
411.1005,410.624
411.1005,410.624
411.1005,410.624
411.1005,410.624
411.1005,410.624
411.1005,410.624
411.1005,410.624
411.1005,410.624
411.1005,410.624
411.1005,410.624
411.1005,410.6
411.1005,410.4703
411.09,410.295
411.09,410.295
411.09,410.295
411.09,410.295
411.09,410.295
411.09,410.295
411.09,410.295
411.09,410.295
411.09,410.295
411.09,410.295
411.09,410.295
411.09,410.295
411.2,410.295
411.2,410.295
411.2,410.295
411.2,410.295
411.2,410.295
411.2,410.295
411.2,410.295
411.22,410.295
411.22,410.295
411.22,410.295
411.262,410.295
411.315,410.295
411.315,410.295
411.315,410.295
411.315,410.295
411.315,410.295
411.315,410.295
411.315,410.295
411.315,410.295
411.315,410.295
411.315,410.295
411.315,410.295
411.34,410.295
411.34,410.295
411.34,410.295
411.34,410.295
411.38,410.295
411.38,410.295
411.51,410.295
411.51,410.295
411.625,410.295
411.625,410.295
411.65,410.295
411.66,410.295
411.66,410.295
411.76,410.295
411.76,410.295
411.76,410.295
411.76,410.295
411.76,410.295
411.76,410.295
411.76,410.295
411.76,410.295
411.785,410.295
411.88,410.295
411.88,410.295
411.88,410.295
411.88,410.295
411.88,410.295
411.88,410.39
411.92,410.45
411.92,410.59
411.92,410.68
411.92,410.74
411.92,410.74
411.92,410.77
411.92,410.99
411.92,411.07
411.92,411.07
411.92,411.09
411.92,411.12
411.92,411.12
412.035,411.12
412.035,411.12
412.07,411.12
412.1,411.12
412.1,411.12
412.1,411.12
412.16,411.12
412.16,411.12
412.16,411.12
412.16,411.12
412.16,411.12
412.16,411.12
412.16,411.12
412.16,411.12
412.16,411.12
412.16,411.12
412.16,411.19
412.16,411.23
412.16,411.29
412.16,411.2999
412.16,411.2999
412.16,411.2999
412.16,411.2999
412.2,411.2999
412.35,411.36
412.49,411.36
412.52,411.485
412.52,411.485
412.68,411.54
412.69,411.54
412.69,411.62
412.69,411.62
412.69,411.62
412.75,411.62
412.75,411.62
412.75,411.62
412.75,411.62
412.75,411.67
412.75,411.67
412.87,411.67
412.94,411.67
412.94,411.67
412.94,411.67
413.025,411.67
413.025,411.67
413.025,411.67
413.025,411.67
413.14,411.67
413.19,411.67
413.35,411.67
413.375,411.67
413.375,411.67
413.41,411.67
413.5101,411.67
413.5101,411.67
413.61,411.71
413.61,411.8
413.61,411.83
413.61,411.83
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.86
413.61,411.925
413.61,411.98
413.61,412.04
413.61,412.065
413.61,412.065
413.61,412.2
413.61,412.35
413.61,412.48
413.61,412.48
413.61,412.48
413.61,412.6
413.61,412.6
413.61,412.6
413.61,412.6
413.61,412.6
413.61,412.69
413.61,412.69
413.61,412.69
413.61,412.69
413.61,412.69
413.61,412.735
413.61,412.79
413.61,412.79
413.61,412.79
413.61,412.79
413.61,412.78
413.61,412.78
413.61,412.7
413.61,412.69
413.61,412.69
413.61,412.63
413.61,412.56
413.61,412.56
413.61,412.5
413.61,412.5
413.61,412.5
413.61,412.49
413.61,412.35
413.47,412.32
412.75,411.98
412.75,411.98
412.75,411.98
412.75,411.98
412.75,412.05
412.75,412.05
412.75,412.1
412.75,412.1
412.75,412.1
412.75,412.1
412.75,412.1
412.75,412.1
412.75,412.1
412.75,412.1
412.75,412.1
412.75,412.1
412.75,412.1
412.75,412.1
412.75,412.07
412.75,412.06
412.75,412.025
412.75,412.025
412.75,412.025
412.75,412.025
412.75,412.025
412.75,412.025
412.75,412.025
412.75,412.025
412.75,412.025
412.75,412.025
412.75,412.025
412.75,412.025
412.75,412.025
412.75,412.025
412.75,412.025
412.6,412.025
412.52,412.025
412.52,412.025
412.52,412.025
412.52,412.025
412.52,412.025
412.52,412.025
412.47,412.025
412.47,412.025
412.48,412.025
412.505,412.025
412.505,412.025
412.51,412.025
412.51,412.025
412.51,412.025
412.51,412.025
412.51,412.025
412.515,412.025
412.515,412.025
412.59,412.025
412.59,412.025
412.59,412.025
412.59,412.025
412.59,412.025
412.59,412.025
412.59,412.025
412.59,412.025
412.59,412.025
412.6383,412.025
412.68,412.025
412.691,412.025
412.691,412.025
412.691,412.025
412.7,412.025
412.7,412.025
412.7,412.025
412.74,412.025
412.74,412.025
412.74,412.025
412.74,412.025
412.74,412.025
412.74,412.025
412.74,412.025
412.9,412.025
412.9,412.025
412.9,412.025
412.9,412.095
412.9,412.125
412.9,412.125
412.9,412.125
412.9,412.13
412.9,412.13
412.9,412.13
412.9,412.18
412.9,412.18
412.9,412.18
412.9,412.18
412.9,412.18
412.95,412.18
412.95,412.18
412.95,412.18
412.95,412.18
412.95,412.18
412.95,412.235
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
412.95,411.5
413.01,411.5
413.01,411.5
413.01,411.5
413.01,411.5
413.01,411.5
413.01,411.5
413.06,411.5
413.06,411.5
413.11,411.5
413.11,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.5
413.19,411.65
413.19,411.65
413.19,411.65
413.19,411.86
413.19,412.055
413.19,412.055
413.19,412.055
413.19,412.06
413.19,412.27
413.19,412.31
413.19,412.33
413.19,412.39
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.19,412.48
413.135,412.48
413.135,412.48
413.135,412.48
413.135,412.48
413.135,412.48
413.135,412.48
413.135,412.48
411.5901,410.89
411.5901,410.865
411.5901,410.865
411.5901,410.865
411.5901,410.865
411.5901,410.865
411.5901,410.865
411.57,410.865
411.5,410.865
